KO	pval	FoldEnrichment	genes	size	cluster
Exosome [BR:ko04147]	0	5.07921853872336	K00700---GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]|K01689---ENO, eno; enolase [EC:4.2.1.11]|K04077---groEL, HSPD1; chaperonin GroEL|K00849---galK; galactokinase [EC:2.7.1.6]|K00602---purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]|K02358---tuf, TUFM; elongation factor Tu|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]|K04043---dnaK, HSPA9; molecular chaperone DnaK|K02503---HINT1, hinT, hit; histidine triad (HIT) family protein|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K00759---APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]|K01940---argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K00382---DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]|K00088---IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]|K00382---DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]|K00927---PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]|K00134---GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]|K00873---PK, pyk; pyruvate kinase [EC:2.7.1.40]|K00382---DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]|K02503---HINT1, hinT, hit; histidine triad (HIT) family protein	31	nonDEG_nonPA
Fatty acid biosynthesis	0	5.89844733529165	K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01961---accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]|K01961---accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00645---fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]|K02078---acpP; acyl carrier protein	16	nonDEG_nonPA
Fluid shear stress and atherosclerosis	0	2.45768638970485	K03671---trxA; thioredoxin 1|K00355---NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]|K01940---argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]|K00355---NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]|K00355---NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	5	nonDEG_nonPA
Folate biosynthesis	0	3.53906840117499	K00796---folP; dihydropteroate synthase [EC:2.5.1.15]|K00950---folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]|K01633---folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]|K00796---folP; dihydropteroate synthase [EC:2.5.1.15]|K01495---GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]|K03750---moeA; molybdopterin molybdotransferase [EC:2.10.1.1]|K03750---moeA; molybdopterin molybdotransferase [EC:2.10.1.1]|K03637---moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]|K03635---MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]|K14652---ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]|K00287---DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]|K11754---folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	12	nonDEG_nonPA
Function unknown	0	3.83399076793957	K07077---K07077; uncharacterized protein|K06960---K06960; uncharacterized protein|K07040---K07040; uncharacterized protein|K09927---K09927; uncharacterized protein|K09009---K09009; uncharacterized protein|K07124---K07124; uncharacterized protein|K06929---K06929; uncharacterized protein|K06888---K06888; uncharacterized protein|K07807---K07807; uncharacterized protein|K09167---K09167; uncharacterized protein|K05937---K05937; uncharacterized protein|K07119---K07119; uncharacterized protein|K07148---K07148; uncharacterized protein|K07006---K07006; uncharacterized protein|K09703---K09703; uncharacterized protein|K07124---K07124; uncharacterized protein|K09781---K09781; uncharacterized protein|K09703---K09703; uncharacterized protein|K09703---K09703; uncharacterized protein|K09704---K09704; uncharacterized protein|K09861---K09861; uncharacterized protein|K07148---K07148; uncharacterized protein|K09762---K09762; uncharacterized protein|K07164---K07164; uncharacterized protein|K07118---K07118; uncharacterized protein|K09940---K09940; uncharacterized protein	26	nonDEG_nonPA
Galactose metabolism	0	20.6445656735208	K00963---UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]|K00965---galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]|K00849---galK; galactokinase [EC:2.7.1.6]|K01684---dgoD; galactonate dehydratase [EC:4.2.1.6]|K01684---dgoD; galactonate dehydratase [EC:4.2.1.6]|K01684---dgoD; galactonate dehydratase [EC:4.2.1.6]|K01190---lacZ; beta-galactosidase [EC:3.2.1.23]|K01684---dgoD; galactonate dehydratase [EC:4.2.1.6]|K01835---pgm; phosphoglucomutase [EC:5.4.2.2]|K01784---galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]|K01784---galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]|K01835---pgm; phosphoglucomutase [EC:5.4.2.2]|K01190---lacZ; beta-galactosidase [EC:3.2.1.23]|K01785---galM, GALM; aldose 1-epimerase [EC:5.1.3.3]	14	nonDEG_nonPA
General function prediction only	0	2.21191775073437	K06886---glbN; hemoglobin|K07160---K07160; UPF0271 protein|K08981---K08981; putative membrane protein|K07058---K07058; membrane protein|K03810---mviM; virulence factor|K08972---K08972; putative membrane protein|K07058---K07058; membrane protein|K08981---K08981; putative membrane protein|K02348---elaA; ElaA protein|K09015---sufD; Fe-S cluster assembly protein SufD|K09014---sufB; Fe-S cluster assembly protein SufB|K07082---K07082; UPF0755 protein	12	nonDEG_nonPA
Glucagon signaling pathway	0	7.37305916911456	K00688---PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]|K01596---E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]|K00161---PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]|K00162---PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]|K00873---PK, pyk; pyruvate kinase [EC:2.7.1.40]	5	nonDEG_nonPA
Glycan metabolism	0	11.7968946705833	K16568---exoZ; exopolysaccharide production protein ExoZ|K16568---exoZ; exopolysaccharide production protein ExoZ|K21688---rpfB; resuscitation-promoting factor RpfB|K16568---exoZ; exopolysaccharide production protein ExoZ|K16568---exoZ; exopolysaccharide production protein ExoZ|K03208---wcaI; colanic acid biosynthesis glycosyl transferase WcaI|K16568---exoZ; exopolysaccharide production protein ExoZ|K16568---exoZ; exopolysaccharide production protein ExoZ	8	nonDEG_nonPA
Glycerolipid metabolism	0	9.58497691984893	K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K07029---dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K00865---glxK, garK; glycerate 2-kinase [EC:2.7.1.165]|K03429---ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K07029---dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K00863---DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]|K05879---dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	13	nonDEG_nonPA
Glycerophospholipid metabolism	0	12.5342005874948	K00981---E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]|K00057---gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K13623---btaB; S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase|K07029---dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K18697---pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]|K01126---E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]|K06131---clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]|K00995---pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K00111---glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]|K00995---pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]|K07029---dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]|K00995---pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K01126---E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	17	nonDEG_nonPA
Glycosyltransferases [BR:ko01003]	0	5.89844733529165	K00697---otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K00728---POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K00721---DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K13658---gumI; beta-1,4-mannosyltransferase [EC:2.4.1.251]|K16556---exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]|K12992---rfbN; rhamnosyltransferase [EC:2.4.1.-]|K03429---ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K00721---DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]|K00721---DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K20999---pslF; polysaccharide biosynthesis protein PslF|K13007---wbpL; Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]|K13007---wbpL; Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]|K00721---DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]|K05365---mrcB; penicillin-binding protein 1B [EC:2.4.1.129 3.4.16.4]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K16556---exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]	28	nonDEG_nonPA
Histidine metabolism	0	4.42383550146874	K05602---hisN; histidinol-phosphatase [EC:3.1.3.15]|K00013---hisD; histidinol dehydrogenase [EC:1.1.1.23]|K01693---hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]|K02501---hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]|K01814---hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]|K01712---hutU, UROC1; urocanate hydratase [EC:4.2.1.49]|K00274---MAO, aofH; monoamine oxidase [EC:1.4.3.4]|K00013---hisD; histidinol dehydrogenase [EC:1.1.1.23]|K11755---hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]|K02500---hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]|K00765---hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]|K01523---hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	12	nonDEG_nonPA
Inositol phosphate metabolism	0	2.94922366764582	K00010---iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|K06606---iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11]|K00010---iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|K00010---iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|K03335---iolE; inosose dehydratase [EC:4.2.1.44]|K00010---iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|K00010---iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	8	nonDEG_nonPA
Lipid biosynthesis proteins [BR:ko01004]	0	28.0176248426353	K10805---tesB; acyl-CoA thioesterase II [EC:3.1.2.-]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K01895---ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00655---plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00645---fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	19	nonDEG_nonPA
Lipoarabinomannan (LAM) biosynthesis	0	13.2715065044062	K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]|K14335---pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]	9	nonDEG_nonPA
Lysine biosynthesis	0	3.31787662610155	K00674---dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]|K01714---dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]|K01586---lysA; diaminopimelate decarboxylase [EC:4.1.1.20]|K00003---hom; homoserine dehydrogenase [EC:1.1.1.3]|K00215---dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]|K00133---asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]|K00928---lysC; aspartate kinase [EC:2.7.2.4]|K01928---murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]|K01929---murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	9	nonDEG_nonPA
Lysine degradation	0	5.16114141838019	K07250---gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K00658---DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]|K01692---paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]|K00164---OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]|K07250---gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K00658---DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]|K01692---paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	14	nonDEG_nonPA
Methane metabolism	0	5.16114141838019	K02446---glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]|K01624---FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|K01689---ENO, eno; enolase [EC:4.2.1.11]|K00600---glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]|K01895---ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]|K00121---frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]|K00148---fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K00148---fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]|K01624---FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K00863---DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]|K01079---serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]|K00925---ackA; acetate kinase [EC:2.7.2.1]	14	nonDEG_nonPA
Mismatch repair	0	11.7968946705833	K01972---E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K03601---xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]|K02341---holB; DNA polymerase III subunit delta [EC:2.7.7.7]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K03111---ssb; single-strand DNA-binding protein|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K02343---dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	8	nonDEG_nonPA
Mitochondrial biogenesis [BR:ko03029]	0	39.8145195132186	K02433---gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]|K02435---gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]|K04487---iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]|K02911---RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32|K03593---mrp, NUBPL; ATP-binding protein involved in chromosome partitioning|K04077---groEL, HSPD1; chaperonin GroEL|K04078---groES, HSPE1; chaperonin GroES|K02358---tuf, TUFM; elongation factor Tu|K02355---fusA, GFM, EFG; elongation factor G|K03687---GRPE; molecular chaperone GrpE|K04043---dnaK, HSPA9; molecular chaperone DnaK|K01880---GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]|K03217---yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase|K02990---RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6|K03111---ssb; single-strand DNA-binding protein|K02433---gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]|K01887---RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]|K02519---infB, MTIF2; translation initiation factor IF-2|K02520---infC, MTIF3; translation initiation factor IF-3|K01866---YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]|K00412---CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit|K17675---SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]|K14998---SURF1, SHY1; surfeit locus 1 family protein|K02259---COX15, ctaA; cytochrome c oxidase assembly protein subunit 15|K02257---COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]|K03595---era, ERAL1; GTPase|K03686---dnaJ; molecular chaperone DnaJ	27	nonDEG_nonPA
Nicotinate and nicotinamide metabolism	0	12.5342005874948	K01916---nadE; NAD+ synthase [EC:6.3.1.5]|K00763---pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]|K00324---pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]|K00278---nadB; L-aspartate oxidase [EC:1.4.3.16]|K00767---nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]|K04765---mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K00278---nadB; L-aspartate oxidase [EC:1.4.3.16]|K08281---pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]|K00278---nadB; L-aspartate oxidase [EC:1.4.3.16]|K03783---punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K00135---gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|K03743---pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]|K00858---ppnK, NADK; NAD+ kinase [EC:2.7.1.23]|K00969---nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	17	nonDEG_nonPA
Nitrogen metabolism	0	5.89844733529165	K00363---nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]|K01673---cynT, can; carbonic anhydrase [EC:4.2.1.1]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]|K00459---ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]|K00265---gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]|K00266---gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]|K00265---gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	8	nonDEG_nonPA
